edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources
EDGE,single_risk,design_rationale,27,0,12,0
EDGE,single_risk,design_rationale,14,0,65,0
EDGE,single_risk,design_rationale,5,0,162,0
EDGE,single_risk,design_rationale,38,0,62,0
EDGE,single_risk,design_rationale,37,0,29,0
EDGE,single_risk,design_rationale,4,0,85,0
EDGE,single_risk,design_rationale,11,0,68,0
EDGE,single_risk,design_rationale,3,0,68,0
EDGE,single_risk,design_rationale,20,0,44,0
EDGE,single_risk,design_rationale,13,0,94,0
EDGE,single_risk,design_rationale,9,0,25,0
EDGE,single_risk,design_rationale,31,0,132,0
EDGE,single_risk,design_rationale,6,0,113,0
EDGE,single_risk,design_rationale,21,0,71,0
EDGE,single_risk,design_rationale,24,0,34,0
EDGE,single_risk,design_rationale,17,0,91,0
EDGE,single_risk,design_rationale,32,0,35,0
EDGE,single_risk,design_rationale,19,0,60,0
EDGE,single_risk,design_rationale,16,0,36,0
EDGE,single_risk,design_rationale,33,0,53,0
EDGE,single_risk,design_rationale,22,0,50,0
EDGE,single_risk,design_rationale,1,0,87,0
EDGE,single_risk,design_rationale,28,0,29,0
EDGE,single_risk,design_rationale,12,0,16,0
EDGE,single_risk,design_rationale,25,0,29,0
EDGE,single_risk,design_rationale,36,0,13,0
EDGE,single_risk,design_rationale,18,0,57,0
EDGE,single_risk,design_rationale,26,0,13,0
EDGE,single_risk,design_rationale,39,0,11,0
EDGE,single_risk,design_rationale,34,0,6,0
EDGE,single_risk,design_rationale,29,0,20,0
