risk_cid,interv_cid,key,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost,c2_boost
26,9,26_9,0,0,101,0,101
14.0,4.0,14_4,2,16,101,14,85
22.0,0.0,22_0,7,9,101,2,92
1,18,1_18,0,5,100,5,95
22.0,27.0,22_27,5,19,100,14,81
20.0,18.0,20_18,1,14,100,13,86
26,33,26_33,0,52,100,52,48
25.0,31.0,25_31,1,70,99,69,29
9.0,13.0,9_13,4,9,99,5,90
16.0,31.0,16_31,10,49,99,39,50
26,37,26_37,0,28,99,28,71
25,33,25_33,0,73,98,73,25
26,12,26_12,0,6,98,6,92
4.0,17.0,4_17,2,19,98,17,79
12,27,12_27,0,2,97,2,95
34,1,34_1,0,33,97,33,64
2,18,2_18,0,10,97,10,87
25,9,25_9,0,0,96,0,96
8,24,8_24,0,27,96,27,69
0.0,22.0,0_22,30,53,95,23,42
16.0,22.0,16_22,7,32,95,25,63
15,27,15_27,0,5,94,5,89
6,12,6_12,0,6,94,6,88
15.0,17.0,15_17,1,10,94,9,84
4.0,0.0,4_0,23,23,94,0,71
7.0,28.0,7_28,1,19,94,18,75
19.0,23.0,19_23,1,15,94,14,79
16.0,33.0,16_33,1,38,94,37,56
4.0,25.0,4_25,4,6,94,2,88
4.0,2.0,4_2,35,48,94,13,46
17.0,0.0,17_0,7,30,93,23,63
38,29,38_29,0,17,93,17,76
9.0,2.0,9_2,1,5,93,4,88
31.0,4.0,31_4,7,7,92,0,85
27.0,39.0,27_39,1,2,91,1,89
21,37,21_37,0,34,90,34,56
21,22,21_22,0,34,90,34,56
38,18,38_18,0,4,89,4,85
30,6,30_6,0,4,89,4,85
21.0,31.0,21_31,1,7,88,6,81
16.0,9.0,16_9,1,1,88,0,87
14.0,11.0,14_11,3,19,88,16,69
21,9,21_9,0,0,87,0,87
17.0,23.0,17_23,2,5,87,3,82
6,21,6_21,0,10,87,10,77
8.0,23.0,8_23,62,64,87,2,23
24,32,24_32,0,11,87,11,76
21,33,21_33,0,9,87,9,78
4.0,18.0,4_18,2,9,86,7,77
26,36,26_36,0,0,86,0,86
28,24,28_24,0,27,86,27,59
24.0,1.0,24_1,2,10,85,8,75
2,29,2_29,0,14,85,14,71
18,23,18_23,0,10,85,10,75
16,37,16_37,0,27,85,27,58
3,38,3_38,0,2,85,2,83
5.0,5.0,5_5,5,7,84,2,77
30,15,30_15,0,4,84,4,80
0.0,32.0,0_32,1,9,84,8,75
30.0,38.0,30_38,2,3,84,1,81
38,17,38_17,0,14,83,14,69
18,27,18_27,0,16,83,16,67
11,19,11_19,0,4,82,4,78
34,32,34_32,0,15,82,15,67
4.0,36.0,4_36,2,51,82,49,31
30.0,10.0,30_10,11,16,82,5,66
9.0,21.0,9_21,15,24,81,9,57
6,28,6_28,0,6,81,6,75
15.0,0.0,15_0,8,18,80,10,62
20,29,20_29,0,20,80,20,60
3.0,15.0,3_15,9,19,79,10,60
35,28,35_28,0,2,79,2,77
35.0,13.0,35_13,2,18,79,16,61
0.0,9.0,0_9,61,66,79,5,13
7,29,7_29,0,4,79,4,75
38,0,38_0,0,0,78,0,78
7,0,7_0,0,5,78,5,73
14,6,14_6,0,14,78,14,64
6,36,6_36,0,16,78,16,62
17,19,17_19,0,3,77,3,74
8.0,6.0,8_6,2,2,77,0,75
37,26,37_26,0,3,77,3,74
8.0,26.0,8_26,16,23,76,7,53
30,39,30_39,0,3,76,3,73
35.0,29.0,35_29,1,13,75,12,62
14.0,25.0,14_25,50,56,75,6,19
25,21,25_21,0,0,74,0,74
37.0,10.0,37_10,1,6,74,5,68
32.0,11.0,32_11,1,17,73,16,56
4,29,4_29,0,1,73,1,72
15.0,18.0,15_18,2,3,73,1,70
31,11,31_11,0,0,73,0,73
27,32,27_32,0,4,72,4,68
9,28,9_28,0,7,72,7,65
14,24,14_24,0,17,72,17,55
18.0,17.0,18_17,1,13,72,12,59
4,13,4_13,0,5,71,5,66
7,2,7_2,0,0,71,0,71
27,10,27_10,0,3,70,3,67
20.0,22.0,20_22,2,7,70,5,63
25,12,25_12,0,4,70,4,66
38,25,38_25,0,0,69,0,69
3,39,3_39,0,2,69,2,67
5.0,4.0,5_4,2,10,69,8,59
28.0,10.0,28_10,6,13,69,7,56
27,6,27_6,0,3,69,3,66
21,12,21_12,0,2,68,2,66
32,24,32_24,0,18,68,18,50
9.0,12.0,9_12,1,4,68,3,64
3,10,3_10,0,6,68,6,62
17.0,34.0,17_34,3,28,68,25,40
29,35,29_35,0,3,67,3,64
14.0,26.0,14_26,11,18,67,7,49
25,37,25_37,0,1,67,1,66
22,29,22_29,0,6,67,6,61
35.0,0.0,35_0,1,7,66,6,59
19,27,19_27,0,9,66,9,57
22,36,22_36,0,8,66,8,58
22,2,22_2,0,1,65,1,64
6.0,33.0,6_33,1,10,65,9,55
4.0,20.0,4_20,32,39,65,7,26
11,23,11_23,0,1,65,1,64
37.0,11.0,37_11,1,3,65,2,62
25,36,25_36,0,0,64,0,64
30,26,30_26,0,1,64,1,63
27.0,15.0,27_15,1,4,64,3,60
31.0,6.0,31_6,2,3,64,1,61
12,17,12_17,0,7,64,7,57
28,26,28_26,0,3,64,3,61
18,0,18_0,0,0,64,0,64
33,35,33_35,0,5,63,5,58
18,18,18_18,0,2,63,2,61
3,26,3_26,0,2,63,2,61
32,6,32_6,0,7,63,7,56
14.0,38.0,14_38,3,5,63,2,58
0,23,0_23,0,7,63,7,56
7,12,7_12,0,27,63,27,36
6.0,31.0,6_31,1,9,62,8,53
26,21,26_21,0,0,62,0,62
15,29,15_29,0,3,62,3,59
37,1,37_1,0,0,62,0,62
2.0,28.0,2_28,2,10,62,8,52
6,37,6_37,0,12,62,12,50
30,32,30_32,0,2,62,2,60
25,22,25_22,0,0,62,0,62
34,23,34_23,0,4,61,4,57
5.0,9.0,5_9,45,57,61,12,4
7,23,7_23,0,6,61,6,55
22.0,13.0,22_13,1,6,60,5,54
